# BinCenter  BinContent  BinError
0.5  1253.0  35.397740040855716
1.5  7582.0  87.07468059085832
2.5  5236.0  72.36021006050217
3.5  1985.0  44.553338819890925
4.5  1641.0  40.50925820105819
5.5  2618.0  51.16639522186413
6.5  2449.0  49.48737212663449
7.5  4766.0  69.03622237637282
8.5  5972.0  77.27871634544663
9.5  4317.0  65.70388116390082
10.5  6515.0  80.71554992688831
11.5  5517.0  74.27651041883968
12.5  3794.0  61.59545437773797
13.5  718.0  26.795522013948524
14.5  1205.0  34.713109915419565
15.5  794.0  28.178005607210743
16.5  1236.0  35.156791662493895
17.5  1379.0  37.134889255254286
18.5  1007.0  31.73326330524486
19.5  1332.0  36.49657518178932
20.5  918.0  30.298514815086232
21.5  1532.0  39.14077158156185
22.5  1163.0  34.10278580995987
23.5  2008.0  44.81071300481616
24.5  1292.0  35.94440151122286
25.5  2092.0  45.73838650411709
26.5  2334.0  48.31148931672465
27.5  1700.0  41.23105625617661
28.5  2513.0  50.12983143797713
29.5  1699.0  41.2189276910499
30.5  2711.0  52.06726418777925
31.5  2098.0  45.803929962395145
32.5  3245.0  56.96490147450446
33.5  3501.0  59.16924876994806
34.5  2362.0  48.60041152089147
35.5  4035.0  63.52164985262898
36.5  3182.0  56.40921910468182
37.5  5095.0  71.37926869897169
38.5  3853.0  62.07253821135398
39.5  6719.0  81.96950652529269
40.5  5371.0  73.287106642301
41.5  10462.0  102.2839185796086
42.5  12910.0  113.6221809331259
43.5  9897.0  99.48366700117161
44.5  16687.0  129.17817153064212
45.5  13083.0  114.38094246857735
46.5  20212.0  142.16891362038328
47.5  14099.0  118.73921003611234
48.5  19747.0  140.52401929919313
49.5  10488.0  102.41093691593686
50.5  8764.0  93.6162379077476
51.5  11942.0  109.27945827098522
52.5  6694.0  81.81686867633104
53.5  7878.0  88.75809822207775
54.5  4176.0  64.62197768561404
55.5  5641.0  75.1065909225016
56.5  3442.0  58.66856057549052
57.5  4635.0  68.0808343074613
58.5  3926.0  62.65780079128216
59.5  2225.0  47.16990566028302
60.5  3237.0  56.894639466297704
61.5  2033.0  45.088801270381985
62.5  2886.0  53.72150407425317
63.5  1758.0  41.92851058647326
64.5  2494.0  49.93996395673509
65.5  1558.0  39.4715087119811
66.5  2380.0  48.78524367060187
67.5  2271.0  47.65501022977542
68.5  1343.0  36.64696440361739
69.5  1839.0  42.883563284783136
70.5  1325.0  36.40054944640259
71.5  1772.0  42.09513035969837
72.5  1077.0  32.817678162843876
73.5  1569.0  39.61060464067672
74.5  878.0  29.631064780058107
75.5  1511.0  38.87158345115362
76.5  1482.0  38.49675310984031
77.5  935.0  30.577769702841312
78.5  1222.0  34.95711658589707
79.5  777.0  27.874719729532707
80.5  1090.0  33.015148038438355
81.5  656.0  25.612496949731394
82.5  921.0  30.347981810987037
83.5  843.0  29.03446228191595
84.5  495.0  22.24859546128699
85.5  787.0  28.053520278211074
86.5  525.0  22.9128784747792
87.5  756.0  27.49545416973504
88.5  427.0  20.663978319771825
89.5  677.0  26.019223662515376
90.5  403.0  20.074859899884732
91.5  671.0  25.903667693977237
92.5  611.0  24.71841418861655
93.5  373.0  19.313207915827967
94.5  554.0  23.53720459187964
95.5  385.0  19.621416870348583
96.5  536.0  23.15167380558045
97.5  321.0  17.916472867168917
98.5  205.0  14.317821063276353
99.5  13.0  3.605551275463989
