# BinCenter  BinContent  BinError
0.505  0.0  0.0
1.5150000000000001  6011.0  77.5306391048081
2.525  4704.0  68.58571279792899
3.535  3590.0  59.91660871578097
4.545  846.0  29.086079144497972
5.555  1592.0  39.89987468652001
6.565  2551.0  50.50742519669756
7.575  2509.0  50.08991914547278
8.585  4070.0  63.796551630946325
9.595  3520.0  59.329587896765304
10.605  5837.0  76.40026177965623
11.615  7433.0  86.21484790916237
12.625000000000002  4587.0  67.72739475278819
13.635000000000002  206.0  14.352700094407323
14.645000000000001  168.0  12.96148139681572
15.655000000000001  271.0  16.46207763315433
16.665  200.0  14.142135623730951
17.675  317.0  17.804493814764857
18.685  324.0  18.0
19.695  250.0  15.811388300841896
20.705  445.0  21.095023109728988
21.715  416.0  20.396078054371138
22.724999999999998  702.0  26.49528259898354
23.735  728.0  26.981475126464083
24.745  547.0  23.388031127053
25.755  909.0  30.14962686336267
26.765  657.0  25.632011235952593
27.775  1103.0  33.21144381083123
28.785  813.0  28.513154858766505
29.794999999999998  1306.0  36.138621999185304
30.805  1477.0  38.43175770115127
31.814999999999998  1045.0  32.32645975048923
32.825  1744.0  41.7612260356422
33.835  1212.0  34.813790371058424
34.845000000000006  2053.0  45.31004303683677
35.855000000000004  2496.0  49.95998398718719
36.865  1905.0  43.64630568559039
37.875  3158.0  56.19608527290847
38.885000000000005  2267.0  47.61302342846965
39.895  4869.0  69.77822009767804
40.905  7680.0  87.63560920082658
41.915000000000006  5851.0  76.49182962905255
42.925000000000004  10656.0  103.22790320451152
43.935  8736.0  93.46657156438339
44.945  16206.0  127.30278865759382
45.955000000000005  12948.0  113.78927893259541
46.965  19119.0  138.27147211192914
47.975  20736.0  144.0
48.98500000000001  12346.0  111.11255554616679
49.995000000000005  12689.0  112.6454615153225
51.005  10878.0  104.29765098025938
52.015  12766.0  112.98672488394378
53.025000000000006  9216.0  96.0
54.035000000000004  4647.0  68.16890786861705
55.045  5520.0  74.29670248402684
56.055  3018.0  54.93632677928149
57.065000000000005  3881.0  62.297672508690084
58.075  2125.0  46.09772228646444
59.085  2689.0  51.85556864985669
60.095000000000006  2385.0  48.83646178829912
61.105000000000004  1441.0  37.960505792204614
62.115  2036.0  45.12205669071391
63.125  1183.0  34.39476704383968
64.135  1712.0  41.376321731154405
65.145  1443.0  37.986839826445156
66.155  1010.0  31.78049716414141
67.16499999999999  1370.0  37.013511046643494
68.175  853.0  29.206163733020468
69.185  1251.0  35.369478367654786
70.195  782.0  27.964262908219126
71.205  1135.0  33.689761055846034
72.21499999999999  1012.0  31.811947441173732
73.225  637.0  25.238858928247925
74.235  831.0  28.827070610799147
75.24499999999999  529.0  23.0
76.255  731.0  27.03701166919155
77.265  636.0  25.219040425836983
78.27499999999999  358.0  18.920887928424502
79.285  439.0  20.952326839756964
80.295  279.0  16.703293088490067
81.30499999999999  340.0  18.439088914585774
82.315  336.0  18.33030277982336
83.325  183.0  13.527749258468683
84.335  282.0  16.792855623746664
85.345  184.0  13.564659966250536
86.35499999999999  237.0  15.394804318340652
87.365  165.0  12.84523257866513
88.375  198.0  14.071247279470288
89.38499999999999  196.0  14.0
90.395  124.0  11.135528725660043
91.405  212.0  14.560219778561036
92.41499999999999  166.0  12.884098726725126
93.425  213.0  14.594519519326424
94.435  157.0  12.529964086141668
95.445  96.0  9.797958971132712
96.455  161.0  12.68857754044952
97.465  107.0  10.344080432788601
98.475  112.0  10.583005244258363
99.485  0.0  0.0
100.49499999999999  0.0  0.0
