# BinCenter  BinContent  BinError
<<<<<<< HEAD
0.505  1492.0  38.62641583165593
1.5150000000000001  10442.0  102.18610473053565
2.525  9949.0  99.74467404327912
3.535  10653.0  103.21337122679407
4.545  6729.0  82.03048213926333
5.555  9334.0  96.6126285741155
6.565  11269.0  106.155546251715
7.575  8604.0  92.75774900244184
8.585  13102.0  114.46396812971321
9.595  8680.0  93.16651759081692
10.605  12988.0  113.964906879267
11.615  14503.0  120.42840196564929
12.625000000000002  6661.0  81.61494961096282
13.635000000000002  4696.0  68.52736679604726
14.645000000000001  3664.0  60.530983801686226
15.655000000000001  5228.0  72.30490993010088
16.665  3783.0  61.506097258727124
17.675  6416.0  80.09993757800315
18.685  6218.0  78.85429601486528
19.695  3896.0  62.41794613730894
20.705  6257.0  79.1012010022604
21.715  4098.0  64.01562309311689
22.724999999999998  6875.0  82.915619758885
23.735  7655.0  87.49285685128815
24.745  4915.0  70.10706098532444
25.755  8336.0  91.30169768410661
26.765  5747.0  75.80897044545586
27.775  9275.0  96.30680142129111
28.785  6094.0  78.06407624509497
29.794999999999998  9860.0  99.29753269845128
30.805  10398.0  101.97058399362044
31.814999999999998  7163.0  84.63450832845902
32.825  11412.0  106.82696288858914
33.835  8055.0  89.74965180990955
34.845000000000006  12182.0  110.37209792334292
35.855000000000004  13119.0  114.53820323368095
36.865  9749.0  98.73702446397704
37.875  14301.0  119.5867885679685
38.885000000000005  10070.0  100.34938963441681
39.895  16106.0  126.90941651429968
40.905  17265.0  131.39634698118513
41.915000000000006  12153.0  110.24064586167844
42.925000000000004  18721.0  136.82470537150812
43.935  13174.0  114.77804668141029
44.945  20192.0  142.09855734665288
45.955000000000005  13571.0  116.49463506960309
46.965  21179.0  145.5300656221937
47.975  20633.0  143.6419158880861
48.98500000000001  13348.0  115.53354491228943
49.995000000000005  16239.0  127.43233498606232
51.005  9965.0  99.82484660644363
52.015  15072.0  122.76807402578245
53.025000000000006  13788.0  117.42231474468556
54.035000000000004  8732.0  93.44517108978933
55.045  12565.0  112.09371079592289
56.055  8072.0  89.8443097808648
57.065000000000005  11514.0  107.30330842988953
58.075  7219.0  84.96469855181033
59.085  10220.0  101.09401564880089
60.095000000000006  9490.0  97.41663102366043
61.105000000000004  6242.0  79.00632886041473
62.115  9152.0  95.66608594481119
63.125  5836.0  76.39371701913711
64.135  7867.0  88.69611039949835
65.145  7458.0  86.35971282953643
66.155  5160.0  71.83313998427188
67.16499999999999  7108.0  84.30895563343196
68.175  4364.0  66.06057825965497
69.185  6785.0  82.37111144084436
70.195  3896.0  62.41794613730894
71.205  6097.0  78.08328886515987
72.21499999999999  6047.0  77.76245880886226
73.225  3474.0  58.9406481131655
74.235  5337.0  73.05477397131553
75.24499999999999  3600.0  60.0
76.255  5542.0  74.444610281739
77.265  5455.0  73.85797181076664
78.27499999999999  2954.0  54.35071296680477
79.285  4923.0  70.16409338115899
80.295  3004.0  54.80875842417888
81.30499999999999  5082.0  71.28814768248647
82.315  5217.0  72.22880311897741
83.325  2267.0  47.61302342846965
84.335  4142.0  64.35837163881635
85.345  2822.0  53.1224999411737
86.35499999999999  3084.0  55.53377350765928
87.365  2323.0  48.19751030914356
88.375  2589.0  50.882216932834204
89.38499999999999  2429.0  49.28488612140643
90.395  1681.0  41.0
91.405  2418.0  49.17316341257699
92.41499999999999  1586.0  39.824615503479755
93.425  2248.0  47.41307836451879
94.435  2139.0  46.24932431938871
95.445  1335.0  36.53765181289022
96.455  1887.0  43.439613257946945
97.465  1264.0  35.552777669262355
98.475  1399.0  37.403208418530085
99.485  47.0  6.855654600401044
=======
0.505  1505.0  38.79432948254165
1.5150000000000001  11222.0  105.93394168065305
2.525  10652.0  103.20852677952534
3.535  11890.0  109.04127658827184
4.545  7619.0  87.28688332160795
5.555  10511.0  102.52316811335865
6.565  12605.0  112.27199116431488
7.575  9576.0  97.85703858180054
8.585  14631.0  120.95867062761562
9.595  9680.0  98.38699100999075
10.605  14401.0  120.00416659433121
11.615  16197.0  127.26743495490116
12.625000000000002  7916.0  88.9719056781409
13.635000000000002  6623.0  81.38181615078395
14.645000000000001  4901.0  70.00714249274856
15.655000000000001  6910.0  83.12640976248163
16.665  5129.0  71.61703707917552
17.675  8758.0  93.58418669839472
18.685  8560.0  92.52026804976302
19.695  5385.0  73.38255923582933
20.705  8234.0  90.74139077620532
21.715  5699.0  75.49172140042907
22.724999999999998  9507.0  97.50384607798813
23.735  10572.0  102.82023147221562
24.745  6743.0  82.11577193207161
25.755  11103.0  105.3707739366092
26.765  7966.0  89.25245094673872
27.775  12800.0  113.13708498984761
28.785  8543.0  92.42835062901426
29.794999999999998  13299.0  115.32129031536198
30.805  13907.0  117.9279441014724
31.814999999999998  9869.0  99.34284070832683
32.825  15795.0  125.67816039392046
33.835  11093.0  105.32331175955302
34.845000000000006  16459.0  128.2926342390708
35.855000000000004  18186.0  134.85547819795826
36.865  13669.0  116.91449867317569
37.875  20694.0  143.85409274678284
38.885000000000005  14378.0  119.90829829498874
39.895  22315.0  149.3820605025918
40.905  24828.0  157.56903249052462
41.915000000000006  17817.0  133.48033563038416
42.925000000000004  27470.0  165.7407614318216
43.935  19062.0  138.06520198804623
44.945  28554.0  168.9792886717186
45.955000000000005  20118.0  141.83793568717786
46.965  31114.0  176.3916097777896
47.975  30803.0  175.507834582961
48.98500000000001  19755.0  140.55248130146973
49.995000000000005  24601.0  156.84705926475002
51.005  16339.0  127.82409788455384
52.015  24251.0  155.7273257973693
53.025000000000006  22078.0  148.58667504187582
54.035000000000004  13403.0  115.77132632910448
55.045  18717.0  136.81008734738825
56.055  12375.0  111.24297730643494
57.065000000000005  17783.0  133.3529152287268
58.075  11085.0  105.28532661297109
59.085  15307.0  123.72146135574054
60.095000000000006  14225.0  119.26860441876563
61.105000000000004  9583.0  97.89279850938985
62.115  13738.0  117.2092146548214
63.125  8874.0  94.2019108086455
64.135  11539.0  107.4197374787334
65.145  11176.0  105.71660229122008
66.155  7814.0  88.39683252243827
67.16499999999999  10708.0  103.47946656221224
68.175  6637.0  81.46778504415104
69.185  9602.0  97.98979538707079
70.195  5983.0  77.34985455707076
71.205  9099.0  95.38867857350787
72.21499999999999  8918.0  94.43516294262429
73.225  5286.0  72.70488291717415
74.235  7421.0  86.14522621712709
75.24499999999999  5224.0  72.27724399837061
76.255  7994.0  89.40917178902845
77.265  7637.0  87.38993077008358
78.27499999999999  4269.0  65.33758489567853
79.285  6696.0  81.82909018191513
80.295  4324.0  65.75712889109438
81.30499999999999  6851.0  82.77076778670111
82.315  6801.0  82.46817568007674
83.325  3142.0  56.05354582896607
84.335  5268.0  72.58098924649622
85.345  3664.0  60.530983801686226
86.35499999999999  4334.0  65.83312236253116
87.365  3092.0  55.60575509783138
88.375  3586.0  59.88321968631947
89.38499999999999  3350.0  57.879184513951124
90.395  2372.0  48.703182647543684
91.405  3479.0  58.98304841223451
92.41499999999999  2234.0  47.265209192385896
93.425  3081.0  55.50675634551167
94.435  2898.0  53.83307533477908
95.445  1881.0  43.37049688440288
96.455  2603.0  51.01960407529639
97.465  1682.0  41.012193308819754
98.475  1766.0  42.02380277890139
99.485  54.0  7.3484692283495345
